soil_type,ph_level,nitrogen,phosphorus,potassium,moisture_level,irrigation_type,soil_health_score,crop_1,crop_2,crop_3,disease_risk,weather_rainfall_mm,temperature_c,humidity_percent,profit_estimate,image_url
Sandy,7.32,23,18,34,37,Flood,63,Groundnut,Soybean,Cotton,Low,98,32,61,22266,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (445).jpeg
Silty,6.26,49,38,45,62,Sprinkler,80,Wheat,Millet,Rice,Medium,78,34,55,75927,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (531).jpeg
Sandy,5.72,31,22,24,42,Sprinkler,88,Wheat,Rice,Vegetables,High,82,30,74,67270,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (628).jpeg
Sandy,6.25,47,17,28,50,Drip,56,Cotton,Maize,Vegetables,Low,57,23,56,31330,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (354).jpeg
Silty,5.81,59,18,26,50,Drip,63,Maize,Millet,Millet,Medium,177,27,71,50846,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (283).jpeg
Loamy,5.61,20,15,27,52,Flood,64,Millet,Barley,Vegetables,High,166,28,69,50695,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (550).jpeg
Loamy,6.22,21,36,21,62,Flood,64,Soybean,Cotton,Groundnut,Low,87,31,42,43762,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (120).jpeg
Silty,7.08,49,36,43,35,Flood,51,Sugarcane,Sugarcane,Maize,Medium,113,28,64,40196,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (535).jpeg
Sandy,6.13,59,33,36,45,Drip,72,Millet,Rice,Soybean,High,52,27,73,32419,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (132).jpeg
Sandy,6.47,45,21,31,38,Flood,71,Soybean,Cotton,Groundnut,Low,51,28,49,34770,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (130).jpeg
Silty,6.04,43,27,25,63,Flood,60,Wheat,Wheat,Barley,Low,99,22,76,35480,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (488).jpeg
Silty,6.76,45,31,36,61,Drip,94,Groundnut,Millet,Wheat,Medium,166,24,86,20912,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (245).jpeg
Sandy,6.01,32,19,22,45,Flood,51,Groundnut,Rice,Millet,Medium,161,23,68,27976,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (182).jpeg
Sandy,6.09,54,40,41,65,Flood,74,Vegetables,Wheat,Sugarcane,High,144,35,47,52313,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (443).jpeg
Sandy,6.69,29,20,32,53,Drip,84,Sugarcane,Rice,Groundnut,Low,175,32,69,45818,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (400).jpeg
Silty,7.24,40,33,23,61,Drip,89,Rice,Maize,Barley,High,127,29,44,73975,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (463).jpeg
Sandy,6.64,29,31,38,37,Flood,52,Barley,Vegetables,Barley,Medium,97,24,53,49723,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (430).jpeg
Sandy,6.21,59,40,38,51,Drip,82,Wheat,Vegetables,Rice,High,101,29,60,75909,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (629).jpeg
Clay,7.39,22,23,27,68,Sprinkler,93,Cotton,Cotton,Barley,Low,95,30,52,30202,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (195).jpeg
Loamy,6.35,44,16,36,58,Sprinkler,80,Vegetables,Millet,Barley,Medium,156,24,75,70999,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (142).jpeg
Loamy,6.16,40,38,25,66,Flood,78,Rice,Sugarcane,Rice,Medium,118,35,55,26887,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (144).jpeg
Clay,6.79,55,31,23,68,Sprinkler,89,Vegetables,Barley,Cotton,Medium,147,32,75,36849,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (41).jpeg
Loamy,6.43,52,22,28,66,Flood,93,Millet,Vegetables,Soybean,Medium,78,20,86,24155,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (104).jpeg
Silty,5.71,41,18,40,76,Flood,53,Cotton,Wheat,Groundnut,Low,54,33,90,59692,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (511).jpeg
Sandy,6.12,50,17,37,65,Sprinkler,65,Wheat,Vegetables,Soybean,Low,67,21,81,68025,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (554).jpeg
Clay,6.25,59,20,35,33,Sprinkler,50,Soybean,Millet,Barley,High,152,35,58,75480,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (249).jpeg
Sandy,6.48,20,28,22,34,Flood,62,Soybean,Vegetables,Wheat,Low,124,24,41,41135,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (476).jpeg
Silty,7.45,48,16,37,71,Drip,58,Soybean,Maize,Barley,Medium,180,33,77,76008,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (30).jpeg
Silty,6.04,46,34,33,43,Sprinkler,74,Vegetables,Wheat,Millet,High,136,34,80,76898,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (375).jpeg
Clay,6.99,57,24,44,48,Flood,52,Barley,Groundnut,Maize,Low,156,35,75,36351,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (506).jpeg
Silty,6.93,60,30,35,55,Sprinkler,58,Groundnut,Rice,Vegetables,Medium,156,34,55,25961,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (622).jpeg
Loamy,5.85,22,19,24,35,Drip,94,Rice,Vegetables,Vegetables,High,177,30,88,32752,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (35).jpeg
Sandy,6.52,54,19,26,72,Sprinkler,70,Maize,Soybean,Soybean,Medium,90,24,42,52871,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (259).jpeg
Sandy,6.08,22,24,29,56,Drip,51,Maize,Rice,Barley,Medium,189,33,43,31952,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (226).jpeg
Clay,6.45,26,21,24,51,Sprinkler,77,Wheat,Groundnut,Millet,High,161,33,51,39528,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (29).jpeg
Clay,6.1,43,18,40,67,Drip,65,Vegetables,Maize,Cotton,Low,177,27,56,37735,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (56).jpeg
Clay,6.31,37,39,50,53,Sprinkler,51,Maize,Sugarcane,Wheat,High,154,34,86,43819,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (239).jpeg
Loamy,6.23,22,20,48,55,Sprinkler,71,Millet,Maize,Soybean,Low,106,21,53,65189,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (452).jpeg
Silty,6.53,56,30,42,41,Sprinkler,73,Cotton,Soybean,Maize,Low,107,24,56,71765,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (150).jpeg
Sandy,5.98,45,30,37,75,Drip,75,Wheat,Sugarcane,Cotton,Low,152,27,60,26763,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (284).jpeg
Silty,6.91,50,30,28,33,Flood,80,Groundnut,Soybean,Millet,High,60,28,52,37949,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (595).jpeg
Clay,6.5,34,32,32,41,Drip,64,Millet,Sugarcane,Barley,Medium,159,27,62,58588,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (107).jpeg
Silty,5.54,38,16,26,59,Sprinkler,64,Barley,Vegetables,Barley,Low,101,26,49,61246,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (630).jpeg
Sandy,6.08,41,25,29,65,Drip,80,Wheat,Soybean,Cotton,Low,189,34,53,49005,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (151).jpeg
Loamy,7.46,26,26,31,60,Flood,94,Rice,Sugarcane,Barley,High,127,33,58,73296,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (395).jpeg
Sandy,7.42,45,26,23,52,Sprinkler,83,Cotton,Soybean,Groundnut,Medium,108,25,79,40421,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (618).jpeg
Sandy,6.75,50,18,26,35,Drip,68,Sugarcane,Groundnut,Wheat,Low,174,25,87,74467,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (152).jpeg
Loamy,5.89,22,30,47,73,Drip,73,Soybean,Wheat,Soybean,Low,130,24,79,50224,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (481).jpeg
Loamy,7.26,34,26,37,41,Drip,64,Rice,Barley,Wheat,Medium,197,31,78,42392,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (424).jpeg
Sandy,6.22,40,16,22,56,Sprinkler,53,Barley,Groundnut,Maize,High,190,22,66,29996,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (220).jpeg
Clay,5.82,53,15,37,33,Drip,57,Maize,Wheat,Groundnut,High,127,21,77,39461,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (391).jpeg
Silty,6.31,57,25,50,43,Flood,78,Soybean,Rice,Rice,Medium,64,32,87,46271,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/32.jpg
Silty,6.14,49,26,36,71,Sprinkler,83,Maize,Barley,Vegetables,High,114,22,69,46700,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (572).jpeg
Silty,5.63,46,39,34,73,Drip,87,Maize,Cotton,Cotton,Low,143,30,83,60572,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (194).jpeg
Loamy,7.13,41,33,41,50,Flood,83,Vegetables,Groundnut,Soybean,Medium,88,32,43,38386,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (318).jpeg
Clay,6.76,40,37,32,43,Drip,95,Soybean,Wheat,Sugarcane,High,62,28,67,31447,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (110).jpeg
Silty,5.64,38,32,41,39,Flood,62,Sugarcane,Groundnut,Cotton,Low,169,26,54,76483,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (65).jpeg
Clay,6.15,56,33,44,80,Drip,72,Sugarcane,Soybean,Wheat,High,198,31,42,55092,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (358).jpeg
Loamy,6.75,52,27,47,51,Flood,74,Groundnut,Sugarcane,Groundnut,Low,114,28,45,53671,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (163).jpeg
Loamy,5.58,27,30,45,44,Drip,50,Maize,Wheat,Cotton,High,65,28,71,39817,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (114).jpeg
Clay,6.56,51,40,26,36,Sprinkler,70,Wheat,Millet,Vegetables,High,103,32,58,56169,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (126).jpeg
Clay,7.38,46,18,34,34,Flood,93,Soybean,Cotton,Maize,Low,166,35,87,78492,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (589).jpeg
Clay,6.01,51,40,48,68,Flood,84,Wheat,Maize,Groundnut,High,129,26,56,61166,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (278).jpeg
Silty,6.26,54,30,40,71,Drip,76,Vegetables,Soybean,Cotton,High,83,29,79,62940,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (365).jpeg
Loamy,5.93,24,25,35,49,Sprinkler,92,Wheat,Cotton,Cotton,High,167,28,89,65351,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (403).jpeg
Clay,5.5,34,17,37,55,Flood,63,Groundnut,Maize,Millet,Medium,117,23,43,76641,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (23).jpeg
Loamy,6.73,34,33,48,74,Flood,87,Groundnut,Groundnut,Wheat,Low,175,22,79,22865,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (128).jpeg
Loamy,6.87,33,30,29,48,Drip,51,Wheat,Soybean,Sugarcane,High,79,31,55,74598,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (227).jpeg
Loamy,5.97,37,30,36,47,Sprinkler,62,Millet,Sugarcane,Barley,Medium,184,27,63,57352,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (173).jpeg
Silty,5.56,24,30,28,70,Drip,58,Millet,Millet,Soybean,Medium,139,23,63,25061,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (376).jpeg
Sandy,7.09,55,39,50,49,Sprinkler,90,Cotton,Cotton,Cotton,Low,127,34,77,69704,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (373).jpeg
Silty,6.65,30,34,26,73,Sprinkler,62,Millet,Vegetables,Soybean,Medium,97,22,43,65037,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (76).jpeg
Loamy,6.31,41,33,28,64,Drip,66,Sugarcane,Groundnut,Rice,Medium,86,27,59,23419,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (457).jpeg
Silty,7.42,41,35,20,54,Flood,58,Soybean,Groundnut,Barley,High,102,21,87,53121,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (238).jpeg
Silty,5.98,48,40,41,69,Flood,71,Wheat,Cotton,Sugarcane,Medium,197,35,83,57928,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (258).jpeg
Silty,6.97,24,32,47,41,Sprinkler,74,Maize,Sugarcane,Millet,High,134,34,63,71128,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (113).jpeg
Loamy,5.59,36,25,31,68,Drip,59,Wheat,Barley,Groundnut,High,114,21,77,28222,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (301).jpeg
Clay,6.81,42,26,26,64,Drip,67,Barley,Millet,Barley,High,176,23,55,31490,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (469).jpeg
Sandy,7.14,59,28,20,38,Sprinkler,66,Soybean,Maize,Soybean,Medium,51,31,69,28428,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (295).jpeg
Clay,5.58,52,34,31,47,Drip,94,Vegetables,Vegetables,Sugarcane,Low,157,35,83,32572,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/42.jpg
Loamy,7.25,26,36,27,36,Sprinkler,80,Vegetables,Sugarcane,Groundnut,Low,103,29,83,26494,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (20).jpeg
Clay,6.69,26,25,37,69,Sprinkler,81,Soybean,Groundnut,Vegetables,High,103,24,77,51107,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (75).jpeg
Sandy,5.72,22,37,21,62,Flood,70,Vegetables,Groundnut,Millet,Medium,77,20,71,73943,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (92).jpeg
Clay,6.92,56,33,39,31,Sprinkler,86,Barley,Millet,Barley,Low,63,30,57,40771,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (327).jpeg
Loamy,6.67,37,25,21,76,Flood,78,Barley,Wheat,Millet,High,143,32,82,31178,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (607).jpeg
Silty,6.38,20,34,42,46,Sprinkler,75,Cotton,Soybean,Soybean,Medium,117,25,69,62752,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (82).jpeg
Silty,5.86,60,30,36,69,Flood,68,Sugarcane,Sugarcane,Millet,Low,95,31,61,35524,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (115).jpeg
Sandy,5.92,26,35,43,67,Drip,65,Soybean,Cotton,Soybean,High,98,25,42,69283,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (426).jpeg
Loamy,6.14,32,23,25,76,Drip,76,Groundnut,Soybean,Soybean,Low,190,24,81,47099,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (347).jpeg
Loamy,5.75,46,23,41,54,Flood,66,Wheat,Maize,Millet,High,143,29,90,79321,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (62).jpeg
Silty,6.71,53,22,29,35,Sprinkler,65,Vegetables,Barley,Millet,High,119,32,50,71623,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (404).jpeg
Silty,6.28,55,16,40,73,Drip,90,Rice,Rice,Groundnut,Low,79,32,83,68994,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (162).jpeg
Silty,7.35,58,28,20,39,Flood,95,Barley,Rice,Soybean,Low,91,22,71,53987,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (418).jpeg
Silty,6.88,34,32,21,42,Drip,77,Millet,Rice,Barley,Medium,57,34,70,33526,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (253).jpeg
Sandy,6.18,21,21,33,44,Drip,79,Sugarcane,Wheat,Groundnut,High,50,34,62,69943,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (606).jpeg
Silty,5.62,28,17,26,32,Sprinkler,88,Barley,Vegetables,Cotton,Low,142,31,88,50593,/content/drive/MyDrive/dataset/CyAUG-Dataset/Alluvial_Soil/a (623).jpeg
